,CITY_NM_1,CTY_NM_2,2001,2002,2003,2004,2005,2006,2007,2008
0,천안시,동남구,0,20.4,18.4,2.8,1.2,1.2,0.8,32.4
1,천안시,서북구,0,30.6,27.6,4.2,1.8,1.8,1.2,48.6
