,CTY_NM_1,CTY_NM_2,USE_CUS_CNT,20008,clean,img
0,대구,달서구,1013.898305,18,0.98224674,daegu/daegudalseogu.png
1,대구,북구(대구),1021.2280699999999,9,0.991187081,daegu/daegubukgu.png
2,대구,수성구,1097.125,29,0.973567278,daegu/daegususeonggu.png
3,대구,동구(대구),700.9152542,30,0.95719882,daegu/daegudonggu.png
4,대구,중구(대구),731.4915254,3,0.99589879,daegu/daegujunggu.png
5,대구,서구(대구),338.47272730000003,14,0.9586377309999999,daegu/daeguseogu.png
6,대구,달성군,228.14,3,0.98685018,daegu/daegudalsunggu.png
7,대구,남구(대구),347.9814815,3,0.991378852,daegu/daegunamgu.png
