,CTY_NM_2,CTY_NM_3,USE_CUS_CNT,20008,clean,img
0,수원시,권선구,869.9152542000002,29.14,0.966502484,suwon/suwon_kwonsungu.png
1,수원시,영통구,1221.160714,29.14,0.976137457,suwon/suwon_youngtonggu.png
2,수원시,장안구,784.8644068,21.62,0.972453841,suwon/suwon_jangangu.png
3,수원시,팔달구,1289.017241,14.1,0.989061434,suwon/suwon_paldalgu.png
