,CTY_NM_2,CTY_NM_3,1,2,3,4,5,6,7,8
0,수원시,권선구,0,3.72,9.92,2.79,3.1,12.4,3.72,29.14
1,수원시,팔달구,0,1.8,4.8,1.35,1.5,6.0,1.8,14.1
2,수원시,영통구,0,3.72,9.92,2.79,3.1,12.4,3.72,29.14
3,수원시,장안구,0,2.76,7.36,2.07,2.3,9.2,2.76,21.62
